| tts_models/en/ljspeech/tacotron2-DDC | vocoder_models/en/ljspeech/univnet | 13s | 
| tts_models/en/ljspeech/tacotron2-DDC | vocoder_models/en/ljspeech/hifigan_v2 | 14s | 
| tts_models/en/ljspeech/tacotron2-DDC | vocoder_models/en/ljspeech/multiband-melgan | 12s | 
| tts_models/en/ljspeech/tacotron2-DDC | vocoder_models/en/ek1/wavegrad | 54s | 
| tts_models/en/ljspeech/tacotron2-DDC | vocoder_models/en/blizzard2013/hifigan_v2 | 15s | 
| tts_models/en/ljspeech/tacotron2-DDC | vocoder_models/en/vctk/hifigan_v2 | 14s | 
| tts_models/en/ljspeech/tacotron2-DDC | vocoder_models/en/sam/hifigan_v2 | 15s | 
| tts_models/en/ljspeech/glow-tts | vocoder_models/en/ljspeech/univnet | 16s | 
| tts_models/en/ljspeech/glow-tts | vocoder_models/en/ljspeech/hifigan_v2 | 12s | 
| tts_models/en/ljspeech/glow-tts | vocoder_models/en/ljspeech/multiband-melgan | 13s | 
| tts_models/en/ljspeech/glow-tts | vocoder_models/en/ek1/wavegrad | 53s | 
| tts_models/en/ljspeech/glow-tts | vocoder_models/en/blizzard2013/hifigan_v2 | 14s | 
| tts_models/en/ljspeech/glow-tts | vocoder_models/en/vctk/hifigan_v2 | 14s | 
| tts_models/en/ljspeech/glow-tts | vocoder_models/en/sam/hifigan_v2 | 17s | 
| tts_models/en/ljspeech/speedy-speech | vocoder_models/en/ljspeech/univnet | 11s | 
| tts_models/en/ljspeech/speedy-speech | vocoder_models/en/ljspeech/hifigan_v2 | 11s | 
| tts_models/en/ljspeech/speedy-speech | vocoder_models/en/ljspeech/multiband-melgan | 12s | 
| tts_models/en/ljspeech/speedy-speech | vocoder_models/en/ek1/wavegrad | 46s | 
| tts_models/en/ljspeech/speedy-speech | vocoder_models/en/blizzard2013/hifigan_v2 | 11s | 
| tts_models/en/ljspeech/speedy-speech | vocoder_models/en/vctk/hifigan_v2 | 11s | 
| tts_models/en/ljspeech/speedy-speech | vocoder_models/en/sam/hifigan_v2 | 13s | 
| tts_models/en/ljspeech/tacotron2-DCA | vocoder_models/en/ljspeech/univnet | 15s | 
| tts_models/en/ljspeech/tacotron2-DCA | vocoder_models/en/ljspeech/hifigan_v2 | 14s | 
| tts_models/en/ljspeech/tacotron2-DCA | vocoder_models/en/ljspeech/multiband-melgan | 12s | 
| tts_models/en/ljspeech/tacotron2-DCA | vocoder_models/en/ek1/wavegrad | 52s | 
| tts_models/en/ljspeech/tacotron2-DCA | vocoder_models/en/blizzard2013/hifigan_v2 | 15s | 
| tts_models/en/ljspeech/tacotron2-DCA | vocoder_models/en/vctk/hifigan_v2 | 16s | 
| tts_models/en/ljspeech/tacotron2-DCA | vocoder_models/en/sam/hifigan_v2 | 15s | 
| tts_models/en/ljspeech/vits | vocoder_models/en/ljspeech/univnet | 12s | 
| tts_models/en/ljspeech/vits | vocoder_models/en/ljspeech/hifigan_v2 | 11s | 
| tts_models/en/ljspeech/vits | vocoder_models/en/ljspeech/multiband-melgan | 10s | 
| tts_models/en/ljspeech/vits | vocoder_models/en/ek1/wavegrad | 11s | 
| tts_models/en/ljspeech/vits | vocoder_models/en/blizzard2013/hifigan_v2 | 13s | 
